Iteration,Loss,Elapsed Time
299,2.5,7897
300,2.501,7922.1
301,2.492,7946.8
302,2.488,7974.2
303,2.457,8002.4
304,2.452,8028.3
305,2.458,8053.9
306,2.449,8077.8
307,2.433,8103.2
308,2.426,8130
309,2.47,8162.5
310,2.438,8187.2
311,2.404,8213
312,2.398,8239.2
313,2.39,8265
314,2.381,8291.4
315,2.389,8316.8
316,2.371,8341.9
317,2.376,8366.9
318,2.37,8391
319,2.415,8418.2
320,2.428,8443.7
321,2.398,8477
322,2.385,8502
323,2.344,8525.5
324,2.352,8551.9
325,2.375,8577.3
326,2.345,8604.1
327,2.331,8632
328,2.272,8657
329,2.294,8683.7
330,2.301,8709.3
331,2.328,8734.6
332,2.335,8759.8
333,2.343,8793.6
334,2.344,8819.5
335,2.358,8845.1
336,2.349,8870.7
337,2.33,8895.9
338,2.318,8921.7
339,2.327,8950.3
340,2.336,8976.5
341,2.344,9002.7
342,2.333,9028.9
343,2.35,9056
344,2.329,9081.7
345,2.325,9115
346,2.284,9140.2
347,2.282,9165.5
348,2.277,9192.4
349,2.322,9218.8
350,2.325,9245.1
351,2.383,9269.5
352,2.389,9294.6
353,2.35,9319.8
354,2.322,9345.9
355,2.327,9373.3
356,2.299,9397.4
357,2.33,9430
358,2.312,9456
359,2.296,9480.4
360,2.311,9507.2
361,2.308,9534
362,2.309,9559.2
363,2.288,9585.1
364,2.274,9611
365,2.274,9636.1
366,2.28,9661.6
367,2.317,9686.7
368,2.327,9710
369,2.295,9744.1
370,2.276,9769.3
371,2.294,9794.5
372,2.269,9822.5
373,2.318,9850.2
374,2.29,9875.3
375,2.287,9901.8
376,2.295,9927.2
377,2.28,9952.6
378,2.33,9980.3
379,2.329,10004.5
380,2.329,10028.5
381,2.299,10063.2
382,2.305,10089.6
383,2.301,10114.5
384,2.295,10141.6
385,2.253,10166.6
386,2.234,10190.3
387,2.21,10218.7
388,2.195,10243.5
389,2.182,10268.6
390,2.2,10293.3
391,2.268,10318.5
392,2.275,10349.9
393,2.242,10375.1
394,2.213,10402.5
395,2.236,10425.6
396,2.236,10449.9
397,2.219,10476.9
398,2.202,10502.6
399,2.217,10528.4
400,2.225,10554.9
401,2.216,10579.6
402,2.208,10607.3
403,2.181,10635.2
404,2.151,10666
405,2.138,10691.4
406,2.116,10717.6
407,2.098,10744.8
408,2.117,10772.6
409,2.137,10799
410,2.13,10824.4
411,2.151,10850.1
412,2.155,10876.6
413,2.192,10901.7
414,2.196,10927
415,2.231,10951.6
416,2.215,10985.6
417,2.22,11010.7
418,2.22,11037.7
419,2.213,11061.9
420,2.193,11087.2
421,2.168,11115.6
422,2.137,11139.4
423,2.129,11165.2
424,2.13,11190.9
425,2.164,11216.3
426,2.155,11243
427,2.168,11270.2
428,2.16,11301.6
429,2.135,11328
